nohup: ignoring input

> my-v0-project@0.1.0 start
> npx serve@latest out

 INFO  Accepting connections at http://localhost:3000
 HTTP  3/19/2025 12:09:01 PM 76.64.133.246 GET /
 HTTP  3/19/2025 12:09:01 PM 76.64.133.246 Returned 304 in 108 ms
 HTTP  3/19/2025 12:09:01 PM 76.64.133.246 GET /_next/static/chunks/webpack-d0e0c7c4b7f8a9e5.js
 HTTP  3/19/2025 12:09:01 PM 76.64.133.246 GET /_next/static/chunks/2117-7d6fae62a3a7c663.js
 HTTP  3/19/2025 12:09:01 PM 76.64.133.246 Returned 304 in 9 ms
 HTTP  3/19/2025 12:09:01 PM 76.64.133.246 Returned 304 in 6 ms
 HTTP  3/19/2025 12:09:01 PM 76.64.133.246 GET /_next/static/chunks/main-app-17fa30681df8df0d.js
 HTTP  3/19/2025 12:09:01 PM 76.64.133.246 Returned 304 in 2 ms
 HTTP  3/19/2025 12:09:01 PM 76.64.133.246 GET /_next/static/chunks/fd9d1056-ce72aeeafde40365.js
 HTTP  3/19/2025 12:09:01 PM 76.64.133.246 Returned 304 in 9 ms
 HTTP  3/19/2025 12:09:01 PM 76.64.133.246 GET /_next/static/css/9fcdb11c6d2f0c20.css
 HTTP  3/19/2025 12:09:01 PM 76.64.133.246 GET /_next/static/media/a34f9d1faa5f3315-s.p.woff2
 HTTP  3/19/2025 12:09:01 PM 76.64.133.246 GET /_next/static/chunks/5157-172238ad01c01eb5.js
 HTTP  3/19/2025 12:09:01 PM 76.64.133.246 GET /_next/static/chunks/7317-4f5a6dec71090d7d.js
 HTTP  3/19/2025 12:09:01 PM 76.64.133.246 Returned 304 in 8 ms
 HTTP  3/19/2025 12:09:01 PM 76.64.133.246 Returned 304 in 7 ms
 HTTP  3/19/2025 12:09:01 PM 76.64.133.246 Returned 304 in 7 ms
 HTTP  3/19/2025 12:09:01 PM 76.64.133.246 Returned 304 in 7 ms
 HTTP  3/19/2025 12:09:02 PM 76.64.133.246 GET /_next/static/chunks/7648-d3d9352103431dbb.js
 HTTP  3/19/2025 12:09:02 PM 76.64.133.246 GET /_next/static/chunks/5720-16077e433671a65a.js
 HTTP  3/19/2025 12:09:02 PM 76.64.133.246 GET /_next/static/chunks/1864-5567b6662ab07165.js
